timestamp,Open,High,Low,Close,Volume
2020-01-01,7000,7070,6950,7050,3400
2020-01-02,7050,7125,7000,7080,3350
2020-01-03,7080,7150,7030,7120,3450
2020-01-04,7120,7190,7070,7150,3300
2020-01-05,7150,7220,7100,7180,3400
2020-01-06,7180,7250,7130,7210,3350
2020-01-07,7210,7280,7160,7240,3450
2020-01-08,7240,7310,7190,7270,3300
2020-01-09,7270,7340,7220,7300,3400
2020-01-10,7300,7370,7250,7330,3350
2020-01-11,7330,7400,7280,7360,3450
2020-01-12,7360,7430,7310,7390,3300
2020-01-13,7390,7460,7340,7420,3400
2020-01-14,7420,7490,7370,7450,3350
2020-01-15,7450,7520,7400,7480,3450
2020-01-16,7480,7550,7430,7510,3300
2020-01-17,7510,7580,7460,7540,3400
2020-01-18,7540,7610,7490,7570,3350
2020-01-19,7570,7640,7520,7600,3450
2020-01-20,7600,7670,7550,7630,3300
2020-01-21,7630,7700,7580,7660,3400
2020-01-22,7660,7730,7610,7690,3350
2020-01-23,7690,7760,7640,7720,3450
2020-01-24,7720,7790,7670,7750,3300
2020-01-25,7750,7820,7700,7780,3400
2020-01-26,7780,7850,7730,7810,3350
2020-01-27,7810,7880,7760,7840,3450
2020-01-28,7840,7910,7790,7870,3300
2020-01-29,7870,7940,7820,7900,3400
2020-01-30,7900,7970,7850,7930,3350
2020-01-31,7930,8000,7880,7960,3450
2020-02-01,7960,8030,7910,7990,3300
2020-02-02,7990,8060,7940,8020,3400
2020-02-03,8020,8090,7970,8050,3350
2020-02-04,8050,8120,8000,8080,3450
2020-02-05,8080,8150,8030,8110,3300
2020-02-06,8110,8180,8060,8140,3400
2020-02-07,8140,8210,8090,8170,3350
2020-02-08,8170,8240,8120,8200,3450
2020-02-09,8200,8270,8150,8230,3300
2020-02-10,8230,8300,8180,8260,3400
2020-02-11,8260,8330,8210,8290,3350
2020-02-12,8290,8360,8240,8320,3450
2020-02-13,8320,8390,8270,8350,3300
2020-02-14,8350,8420,8300,8380,3400
2020-02-15,8380,8450,8330,8410,3350
2020-02-16,8410,8480,8360,8440,3450
2020-02-17,8440,8510,8390,8470,3300
2020-02-18,8470,8540,8420,8500,3400
2020-02-19,8500,8570,8450,8530,3350
2020-02-20,8530,8600,8480,8560,3450
2020-02-21,8560,8630,8510,8590,3300
2020-02-22,8590,8660,8540,8620,3400
2020-02-23,8620,8690,8570,8650,3350
2020-02-24,8650,8720,8600,8680,3450
2020-02-25,8680,8750,8630,8710,3300
2020-02-26,8710,8780,8660,8740,3400
2020-02-27,8740,8810,8690,8770,3350
2020-02-28,8770,8840,8720,8800,3450
2020-02-29,8800,8870,8750,8830,3300
2020-03-01,8830,8900,8780,8860,3400
2020-03-02,8860,8930,8810,8890,3350
2020-03-03,8890,8960,8840,8920,3450
2020-03-04,8920,8990,8870,8950,3300
2020-03-05,8950,9020,8900,8980,3400
2020-03-06,8980,9050,8930,9010,3350
2020-03-07,9010,9080,8960,9040,3450
2020-03-08,9040,9110,8990,9070,3300
2020-03-09,9070,9140,9020,9100,3400
2020-03-10,9100,9170,9050,9130,3350
2020-03-11,9130,9200,9080,9160,3450
2020-03-12,9160,9230,9110,9190,3300
2020-03-13,9190,9260,9140,9220,3400
2020-03-14,9220,9290,9170,9250,3350
2020-03-15,9250,9320,9200,9280,3450
2020-03-16,9280,9350,9230,9310,3300
2020-03-17,9310,9380,9260,9340,3400
2020-03-18,9340,9410,9290,9370,3350
2020-03-19,9370,9440,9320,9400,3450
2020-03-20,9400,9470,9350,9430,3300

