timestamp,Open,High,Low,Close,Volume
2020-01-01,400.0,402.0,398.0,401.0,5000000
2020-01-02,401.0,403.0,399.0,402.0,4800000
2020-01-03,402.0,404.0,400.0,403.0,5200000
2020-01-04,403.0,405.0,401.0,404.0,4500000
2020-01-05,404.0,406.0,402.0,405.0,4600000
2020-01-06,405.0,407.0,403.0,406.0,4900000
2020-01-07,406.0,408.0,404.0,407.0,5300000
2020-01-08,407.0,409.0,405.0,408.0,4700000
2020-01-09,408.0,410.0,406.0,409.0,4800000
2020-01-10,409.0,411.0,407.0,410.0,5100000
2020-01-11,410.0,412.0,408.0,411.0,5400000
2020-01-12,411.0,413.0,409.0,412.0,4600000
2020-01-13,412.0,414.0,410.0,413.0,4700000
2020-01-14,413.0,415.0,411.0,414.0,5000000
2020-01-15,414.0,416.0,412.0,415.0,5300000
2020-01-16,415.0,417.0,413.0,416.0,4800000
2020-01-17,416.0,418.0,414.0,417.0,4900000
2020-01-18,417.0,419.0,415.0,418.0,5200000
2020-01-19,418.0,420.0,416.0,419.0,5500000
2020-01-20,419.0,421.0,417.0,420.0,4700000
2020-01-21,420.0,422.0,418.0,421.0,4800000
2020-01-22,421.0,423.0,419.0,422.0,5100000
2020-01-23,422.0,424.0,420.0,423.0,5400000
2020-01-24,423.0,425.0,421.0,424.0,4600000
2020-01-25,424.0,426.0,422.0,425.0,4700000
2020-01-26,425.0,427.0,423.0,426.0,5000000
2020-01-27,426.0,428.0,424.0,427.0,5300000
2020-01-28,427.0,429.0,425.0,428.0,4800000
2020-01-29,428.0,430.0,426.0,429.0,4900000
2020-01-30,429.0,431.0,427.0,430.0,5200000
2020-01-31,430.0,432.0,428.0,431.0,5500000
2020-02-01,431.0,433.0,429.0,432.0,4700000
2020-02-02,432.0,434.0,430.0,433.0,4800000
2020-02-03,433.0,435.0,431.0,434.0,5100000
2020-02-04,434.0,436.0,432.0,435.0,5400000
2020-02-05,435.0,437.0,433.0,436.0,4600000
2020-02-06,436.0,438.0,434.0,437.0,4700000
2020-02-07,437.0,439.0,435.0,438.0,5000000
2020-02-08,438.0,440.0,436.0,439.0,5300000
2020-02-09,439.0,441.0,437.0,440.0,4800000
2020-02-10,440.0,442.0,438.0,441.0,4900000
2020-02-11,441.0,443.0,439.0,442.0,5200000
2020-02-12,442.0,444.0,440.0,443.0,5500000
2020-02-13,443.0,445.0,441.0,444.0,4700000
2020-02-14,444.0,446.0,442.0,445.0,4800000
2020-02-15,445.0,447.0,443.0,446.0,5100000
2020-02-16,446.0,448.0,444.0,447.0,5400000
2020-02-17,447.0,449.0,445.0,448.0,4600000
2020-02-18,448.0,450.0,446.0,449.0,4700000
2020-02-19,449.0,451.0,447.0,450.0,5000000
2020-02-20,450.0,452.0,448.0,451.0,5300000
2020-02-21,451.0,453.0,449.0,452.0,4800000
2020-02-22,452.0,454.0,450.0,453.0,4900000
2020-02-23,453.0,455.0,451.0,454.0,5200000
2020-02-24,454.0,456.0,452.0,455.0,5500000
2020-02-25,455.0,457.0,453.0,456.0,4700000
2020-02-26,456.0,458.0,454.0,457.0,4800000
2020-02-27,457.0,459.0,455.0,458.0,5100000
2020-02-28,458.0,460.0,456.0,459.0,5400000
2020-02-29,459.0,461.0,457.0,460.0,4600000
2020-03-01,460.0,462.0,458.0,461.0,4700000
2020-03-02,461.0,463.0,459.0,462.0,5000000
2020-03-03,462.0,464.0,460.0,463.0,5300000
2020-03-04,463.0,465.0,461.0,464.0,4800000
2020-03-05,464.0,466.0,462.0,465.0,4900000
2020-03-06,465.0,467.0,463.0,466.0,5200000
2020-03-07,466.0,468.0,464.0,467.0,5500000
2020-03-08,467.0,469.0,465.0,468.0,4700000
2020-03-09,468.0,470.0,466.0,469.0,4800000
2020-03-10,469.0,471.0,467.0,470.0,5100000
2020-03-11,470.0,472.0,468.0,471.0,5400000
2020-03-12,471.0,473.0,469.0,472.0,4600000
2020-03-13,472.0,474.0,470.0,473.0,4700000
2020-03-14,473.0,475.0,471.0,474.0,5000000
2020-03-15,474.0,476.0,472.0,475.0,5300000
2020-03-16,475.0,477.0,473.0,476.0,4800000
2020-03-17,476.0,478.0,474.0,477.0,4900000
2020-03-18,477.0,479.0,475.0,478.0,5200000
2020-03-19,478.0,480.0,476.0,479.0,5500000
2020-03-20,479.0,481.0,477.0,480.0,4700000
