trade_id,timestamp,symbol,side,delta_qty,price,fee,before_qty,after_qty,realized_pnl
1,2023-08-01,SPY,SELL,-0.13417704303775935,444.64495849609375,0.012603114361719415,-35.50552680180761,-35.63970384484537,0.0
2,2023-08-01,QQQ,SELL,-0.13511795505286983,378.0328674316406,0.010891395373291535,-41.784550403479294,-41.919668358532164,0.0
3,2023-08-02,SPY,SELL,-0.7295384405756167,438.4596252441406,0.06762232245407401,-35.63970384484537,-36.36924228542099,0.0
4,2023-08-02,QQQ,SELL,-1.209426107176327,369.73724365234375,0.0954811055895935,-41.919668358532164,-43.12909446570849,0.0
5,2023-08-03,SPY,SELL,-0.13299073262780325,437.2030029296875,0.012293743196477967,-36.36924228542099,-36.50223301804879,0.0
6,2023-08-03,QQQ,SELL,-0.1029582147408874,369.14471435546875,0.008116087227919216,-43.12909446570849,-43.23205268044938,0.0
7,2023-08-04,SPY,SELL,-0.22488782571702615,435.2257385253906,0.020699833135197538,-36.50223301804879,-36.72712084376582,0.0
8,2023-08-04,QQQ,SELL,-0.2733074655486618,367.41644287109375,0.021450068688143975,-43.23205268044938,-43.50536014599804,0.0
9,2023-08-07,SPY,BUY,0.4273743025576948,439.0245666503906,0.039662435108369455,-36.72712084376582,-36.29974654120812,-17.6225628258779
10,2023-08-07,QQQ,BUY,0.49510696163901713,370.5273132324219,0.03916566525994965,-43.50536014599804,-43.01025318435902,-30.59958694315323
11,2023-08-08,SPY,SELL,-0.24050689698957228,437.1153869628906,0.022228387553916054,-36.29974654120812,-36.540253438197695,0.0
12,2023-08-08,QQQ,SELL,-0.4663566637234098,367.3769226074219,0.036597518509851164,-43.01025318435902,-43.47660984808243,0.0
13,2023-08-09,SPY,SELL,-0.35970828515035436,434.1932373046875,0.03303512238870177,-36.540253438197695,-36.89996172334805,0.0
14,2023-08-09,QQQ,SELL,-0.6192923587411059,363.3377990722656,0.0480989263151586,-43.47660984808243,-44.09590220682354,0.0
